,title,doi,published,ref_count,authors,abstract,author_names,journal,volume,issue,pages,article_number,publisher,crossref_title,apa_citation
80,PSR volume 119 issue 2 Cover and Back matter,10.1017/s0003055425000152,"[2025, 5]",0,,No abstract available,,American Political Science Review,119,2,b1-b3,,Cambridge University Press (CUP),PSR volume 119 issue 2 Cover and Back matter,"[Author Missing] (2025). PSR volume 119 issue 2 Cover and Back matter. American Political Science Review, 119 (2), b1-b3.[ https://doi.org/10.1017/s0003055425000152]( https://doi.org/10.1017/s0003055425000152)"
81,PSR volume 119 issue 2 Cover and Front matter,10.1017/s0003055425000164,"[2025, 5]",0,,No abstract available,,American Political Science Review,119,2,f1-f6,,Cambridge University Press (CUP),PSR volume 119 issue 2 Cover and Front matter,"[Author Missing] (2025). PSR volume 119 issue 2 Cover and Front matter. American Political Science Review, 119 (2), f1-f6.[ https://doi.org/10.1017/s0003055425000164]( https://doi.org/10.1017/s0003055425000164)"
82,Ideology and Revolution in Civil Wars: The “Marxist Paradox”,10.1017/s0003055425000188,"[2025, 4, 28]",138,"[{'ORCID': 'https://orcid.org/0000-0003-2922-4123', 'authenticated-orcid': False, 'given': 'LAIA', 'family': 'BALCELLS', 'sequence': 'first', 'affiliation': [{'name': 'Georgetown University'}]}, {'given': 'STATHIS N.', 'family': 'KALYVAS', 'sequence': 'additional', 'affiliation': [{'name': 'University of Oxford'}]}]","Powered by Marxist ideology, Revolutionary Socialist (RS) armed groups launched formidable challenges against incumbent regimes during the historical era of the Cold War. As both transformational and transnational actors, they were optimally positioned to execute a revolutionary war doctrine that called for a highly integrated political and military organization that could weave a dense web of interactions with civilian populations. Civil wars featuring RS rebels tended to be robust insurgencies, that is, irregular wars that lasted longer and produced more battlefield fatalities compared to other civil wars. However, this superior capacity failed to translate into a higher rate of victories—hence, a “Marxist Paradox.” By posing a credible threat, RS rebellions engendered equally powerful regime counter-mobilizations. We show how ideology shaped armed conflict in a particular world-historical time and point to implications for the current state of civil conflict.","['BALCELLS, LAIA', 'KALYVAS, STATHIS N.']",American Political Science Review,120,1,141-159,,Cambridge University Press (CUP),Ideology and Revolution in Civil Wars: The “Marxist Paradox”,"Balcells, L., & Kalyvas, S. N. (2025). Ideology and Revolution in Civil Wars: The “Marxist Paradox”. American Political Science Review, 120 (1), 141-159.[ https://doi.org/10.1017/s0003055425000188]( https://doi.org/10.1017/s0003055425000188)"
83,Electoral Gender Quotas and Democratic Legitimacy,10.1017/s0003055425000176,"[2025, 4, 25]",101,"[{'ORCID': 'https://orcid.org/0000-0003-0222-2056', 'authenticated-orcid': False, 'given': 'AMANDA', 'family': 'CLAYTON', 'sequence': 'first', 'affiliation': [{'name': 'University of California'}]}, {'ORCID': 'https://orcid.org/0000-0003-3578-1321', 'authenticated-orcid': False, 'given': 'DIANA Z.', 'family': 'O’BRIEN', 'sequence': 'additional', 'affiliation': [{'name': 'Washington University in St. Louis'}]}, {'ORCID': 'https://orcid.org/0000-0002-9043-1810', 'authenticated-orcid': False, 'given': 'JENNIFER M.', 'family': 'PISCOPO', 'sequence': 'additional', 'affiliation': [{'name': 'Royal Holloway University of London'}]}]","Gender quotas are used to elect most of the world’s legislatures. Still, critics contend that quotas are undemocratic, eroding institutional legitimacy. We examine whether quotas diminish citizens’ faith in political decisions and decision-making processes. Using survey experiments in 12 democracies with over 17,000 respondents, we compare the legitimacy-conferring effects of both quota-elected and non-quota elected local legislative councils relative to all-male councils. Citizens strongly prefer gender balance, even when it is achieved through quotas. Though we observe a quota penalty, wherein citizens prefer gender balance attained without a quota relative to quota-elected institutions, this penalty is often small and insignificant, especially in countries with higher-threshold quotas. Quota debates are thus better framed around the most relevant counterfactual: the comparison is not between women’s descriptive representation with and without quotas, but between men’s political dominance and women’s inclusion.","['CLAYTON, AMANDA', 'O’BRIEN, DIANA Z.', 'PISCOPO, JENNIFER M.']",American Political Science Review,120,1,123-140,,Cambridge University Press (CUP),Electoral Gender Quotas and Democratic Legitimacy,"Clayton, A., O’Brien, D. Z., & Piscopo, J. M. (2025). Electoral Gender Quotas and Democratic Legitimacy. American Political Science Review, 120 (1), 123-140.[ https://doi.org/10.1017/s0003055425000176]( https://doi.org/10.1017/s0003055425000176)"
84,Plutopopulism: Wealth and Trump’s Financial Base,10.1017/s0003055425000061,"[2025, 4, 2]",73,"[{'ORCID': 'https://orcid.org/0000-0003-4315-685X', 'authenticated-orcid': False, 'given': 'SEAN', 'family': 'KATES', 'sequence': 'first', 'affiliation': [{'name': 'University of Pennsylvania'}]}, {'ORCID': 'https://orcid.org/0009-0008-0234-4284', 'authenticated-orcid': False, 'given': 'ERIC', 'family': 'MANNING', 'sequence': 'additional', 'affiliation': [{'name': 'Princeton University'}]}, {'ORCID': 'https://orcid.org/0000-0002-4494-7541', 'authenticated-orcid': False, 'given': 'TALI', 'family': 'MENDELBERG', 'sequence': 'additional', 'affiliation': [{'name': 'Princeton University'}]}, {'ORCID': 'https://orcid.org/0000-0002-1104-4610', 'authenticated-orcid': False, 'given': 'OMAR', 'family': 'WASOW', 'sequence': 'additional', 'affiliation': []}]","Comparative scholarship suggests authoritarian candidates often rely on backing from the wealthy. The wealthy are also said to play an important role in American campaign finance. Studies of Donald Trump, however, found that he drew significant support from white Americans with less education and privilege. We evaluate wealthy and non-wealthy Americans’ financial support for Trump, compared to other candidates, by constructing a comprehensive dataset of property values matched to contributions and voter files. We find Trump underperformed among wealthy Republican donors while mobilizing new non-wealthy donors. Trump also diversified the donorate, especially by education. That is, Trump built an unusual coalition of wealthy and non-wealthy donors. Our results support an alternative, “plutopopulist” model of Trump’s financial base. This study demonstrates the importance of studying both non-wealthy and wealthy Americans, the group who give the most but whose individual behavior has been studied the least.","['KATES, SEAN', 'MANNING, ERIC', 'MENDELBERG, TALI', 'WASOW, OMAR']",American Political Science Review,120,1,92-109,,Cambridge University Press (CUP),Plutopopulism: Wealth and Trump’s Financial Base,"Kates, S., Manning, E., Mendelberg, T., & Wasow, O. (2025). Plutopopulism: Wealth and Trump’s Financial Base. American Political Science Review, 120 (1), 92-109.[ https://doi.org/10.1017/s0003055425000061]( https://doi.org/10.1017/s0003055425000061)"
85,How Cases Speak to One Another: Using Translation to Rethink Generalization in Political Science Research,10.1017/s0003055425000140,"[2025, 4, 2]",69,"[{'ORCID': 'https://orcid.org/0000-0002-0399-4966', 'authenticated-orcid': False, 'given': 'ERICA S.', 'family': 'SIMMONS', 'sequence': 'first', 'affiliation': [{'name': 'University of Wisconsin—Madison, United States'}]}, {'ORCID': 'https://orcid.org/0000-0003-2488-2231', 'authenticated-orcid': False, 'given': 'NICHOLAS RUSH', 'family': 'SMITH', 'sequence': 'additional', 'affiliation': [{'name': 'City University of New York—City College and the Graduate Center University of Johannesburg, South Africa'}]}]","Regardless of method, political scientists often seek to develop arguments that can be generalized to a population of cases. But is this the only way to think about how cases speak to one another? We advocate for a new way to think about how qualitative research produces broadly applicable insights: translation. Much like linguistic translation, the goal of translation in political science is to develop ideas that are intelligible in a different context, even as the context will change how an idea or political practice is interpreted or enacted. Translation offers at least three benefits. It allows us to (1) rethink how we form and deploy concepts; (2) rethink what a generalizable argument is by carrying parts of an argument, instead of entire causal chains to other cases; and (3) rethink how we conceptualize knowledge accumulation to include an abductive process where generating theory is the primary goal.","['SIMMONS, ERICA S.', 'SMITH, NICHOLAS RUSH']",American Political Science Review,120,1,110-122,,Cambridge University Press (CUP),How Cases Speak to One Another: Using Translation to Rethink Generalization in Political Science Research,"Simmons, E. S., & Smith, N. R. (2025). How Cases Speak to One Another: Using Translation to Rethink Generalization in Political Science Research. American Political Science Review, 120 (1), 110-122.[ https://doi.org/10.1017/s0003055425000140]( https://doi.org/10.1017/s0003055425000140)"
86,Partisan Leaning,10.1017/s0003055424001175,"[2025, 3, 28]",66,"[{'ORCID': 'https://orcid.org/0000-0001-5958-0351', 'authenticated-orcid': False, 'given': 'ZUHEIR', 'family': 'DESAI', 'sequence': 'first', 'affiliation': [{'name': 'The Ohio State University'}]}, {'ORCID': 'https://orcid.org/0000-0003-0021-5004', 'authenticated-orcid': False, 'given': 'ANDERSON', 'family': 'FREY', 'sequence': 'additional', 'affiliation': [{'name': 'University of Rochester'}]}, {'ORCID': 'https://orcid.org/0000-0003-0387-0944', 'authenticated-orcid': False, 'given': 'SCOTT A.', 'family': 'TYSON', 'sequence': 'additional', 'affiliation': [{'name': 'University of Rochester'}]}]","A decisive voter’s exact ideological preferences can be hard to predict, even for seasoned candidates. We develop a novel theory of electoral competition where candidates are evaluated on ideological and nonideological dimensions. The key feature of our theory is that an electorate’s partisan leaning serves as a signal of the median voter’s ideological position where extreme leanings are more informative about voters than centrist leanings. We show that this leads to an endogenous sorting of districts between “extreme” and “centrist” and that an increase in the importance of candidate competence for voters increases polarization—but only in extreme districts. We evaluate our theory using data from mayoral elections in Brazil’s 95 largest municipalities and exploit COVID-19 as a shock to the salience of candidate competence. We show that COVID-19 increases the salience of competence in these elections, leading to increased political polarization, which is concentrated in cities with extreme partisan leanings.","['DESAI, ZUHEIR', 'FREY, ANDERSON', 'TYSON, SCOTT A.']",American Political Science Review,120,1,72-91,,Cambridge University Press (CUP),Partisan Leaning,"Desai, Z., Frey, A., & Tyson, S. A. (2025). Partisan Leaning. American Political Science Review, 120 (1), 72-91.[ https://doi.org/10.1017/s0003055424001175]( https://doi.org/10.1017/s0003055424001175)"
87,"Domestic Institutions, Geographic Concentration, and Agricultural Liberalization",10.1017/s0003055425000127,"[2025, 3, 24]",76,"[{'ORCID': 'https://orcid.org/0000-0002-5774-1585', 'authenticated-orcid': False, 'given': 'IN SONG', 'family': 'KIM', 'sequence': 'first', 'affiliation': [{'name': 'Massachusetts Institute of Technology'}]}, {'ORCID': 'https://orcid.org/0000-0002-2717-4743', 'authenticated-orcid': False, 'given': 'MEGUMI', 'family': 'NAOI', 'sequence': 'additional', 'affiliation': [{'name': 'University of California, San Diego'}]}, {'ORCID': 'https://orcid.org/0009-0001-9243-2243', 'authenticated-orcid': False, 'given': 'TOMOYA', 'family': 'SASAKI', 'sequence': 'additional', 'affiliation': [{'name': 'Independent Scholar'}]}]","One of the persistent obstacles to trade liberalization is a government’s inability to commit and deliver compensation to trade losers. We argue that constitutional structures interact with the geographic profiles of industries to shape a government’s ability to commit to a
                    compensation contract
                    , defined as an interbranch contract whereby an executive branch promises compensation in exchange for legislative support for ratification. Our theory predicts that parliamentary systems are more likely to liberalize and compensate geographically concentrated industries because
                    party leaders
                    enforce a contract with a smaller number of legislators. Presidential systems are more likely to liberalize and compensate geographically diffused industries because
                    legislature
                    enforces a contract with a larger number of legislators. Using novel product-level data on agricultural trade liberalization and remote-sensed cropland in 38 democracies, we find evidence consistent with our argument. Qualitative studies of the sugar industry and interviews with policymakers provide further evidence.","['KIM, IN SONG', 'NAOI, MEGUMI', 'SASAKI, TOMOYA']",American Political Science Review,120,1,55-71,,Cambridge University Press (CUP),"Domestic Institutions, Geographic Concentration, and Agricultural Liberalization","Kim, I. S., Naoi, M., & Sasaki, T. (2025). Domestic Institutions, Geographic Concentration, and Agricultural Liberalization. American Political Science Review, 120 (1), 55-71.[ https://doi.org/10.1017/s0003055425000127]( https://doi.org/10.1017/s0003055425000127)"
88,The Train Wrecks of Modernization: Railway Construction and Separatist Mobilization in Europe,10.1017/s0003055425000048,"[2025, 3, 21]",116,"[{'ORCID': 'https://orcid.org/0000-0002-0373-0952', 'authenticated-orcid': False, 'given': 'YANNICK I.', 'family': 'PENGL', 'sequence': 'first', 'affiliation': [{'name': 'ETH Zurich'}]}, {'ORCID': 'https://orcid.org/0000-0001-8536-7861', 'authenticated-orcid': False, 'given': 'CARL', 'family': 'MÜLLER-CREPON', 'sequence': 'additional', 'affiliation': [{'name': 'London School of Economics and Political Science'}]}, {'ORCID': 'https://orcid.org/0000-0002-5868-2599', 'authenticated-orcid': False, 'given': 'ROBERTO', 'family': 'VALLI', 'sequence': 'additional', 'affiliation': [{'name': 'Princeton University'}]}, {'ORCID': 'https://orcid.org/0000-0002-8511-0617', 'authenticated-orcid': False, 'given': 'LARS-ERIK', 'family': 'CEDERMAN', 'sequence': 'additional', 'affiliation': [{'name': 'ETH Zurich'}]}, {'ORCID': 'https://orcid.org/0000-0002-8979-8228', 'authenticated-orcid': False, 'given': 'LUC', 'family': 'GIRARDIN', 'sequence': 'additional', 'affiliation': [{'name': 'ETH Zurich'}]}]","This paper uses the gradual expansion of the European railway network to investigate how this key technological driver of modernization affected ethnic separatism between 1816 and 1945. Combining new historical data on ethnic settlement areas, conflict, and railway construction, we test how railroads affected separatist conflict and successful secession as well as independence claims among peripheral ethnic groups. Difference-in-differences, event study, and instrumental variable models show that, on average, railway-based modernization increased separatist mobilization and secession. These effects concentrate in countries with small core groups, weak state capacity, and low levels of economic development as well as in large ethnic minority regions. Exploring causal mechanisms, we show how railway networks can facilitate mobilization by increasing the internal connectivity of ethnic regions and hamper it by boosting state reach. Overall, our findings call for a more nuanced understanding of the effects of European modernization on nation building.","['PENGL, YANNICK I.', 'MÜLLER-CREPON, CARL', 'VALLI, ROBERTO', 'CEDERMAN, LARS-ERIK', 'GIRARDIN, LUC']",American Political Science Review,120,1,37-54,,Cambridge University Press (CUP),The Train Wrecks of Modernization: Railway Construction and Separatist Mobilization in Europe,"Pengl, Y. I., Müller-Crepon, C., Valli, R., Cederman, L., & Girardin, L. (2025). The Train Wrecks of Modernization: Railway Construction and Separatist Mobilization in Europe. American Political Science Review, 120 (1), 37-54.[ https://doi.org/10.1017/s0003055425000048]( https://doi.org/10.1017/s0003055425000048)"
89,Mass Versus Donor Attitudes on the Importance of Supreme Court Nominations,10.1017/s0003055425000139,"[2025, 3, 18]",40,"[{'ORCID': 'https://orcid.org/0000-0002-6949-7655', 'authenticated-orcid': False, 'given': 'BRANDICE', 'family': 'CANES-WRONE', 'sequence': 'first', 'affiliation': [{'name': 'Stanford University'}]}, {'ORCID': 'https://orcid.org/0000-0002-7338-248X', 'authenticated-orcid': False, 'given': 'JONATHAN P.', 'family': 'KASTELLEC', 'sequence': 'additional', 'affiliation': [{'name': 'Princeton University'}]}, {'ORCID': 'https://orcid.org/0009-0005-9760-0305', 'authenticated-orcid': False, 'given': 'NICOLAS', 'family': 'STUDEN', 'sequence': 'additional', 'affiliation': [{'name': 'Stanford University'}]}]","While Supreme Court nominations have become increasingly high-salience political events, we know little about their prioritization relative to other issues by core constituency groups. We examine how individual donors and the mass public prioritize nominations, as well as factors they believe presidents should consider when selecting judges. To do so, we constructed original questions for a survey of over 7,000 validated donors and a comparison general population sample. We find donors are substantially more likely to prioritize nominations than their general public co-partisans, particularly Republican donors. Further analysis suggests the prioritization gap is consistent with theories that donors are motivated to move policy toward the ideological extremes. Analyzing policy positions, the largest donor-public difference occurs for diversity in appointments, but for all positions we find smaller differences than for prioritization. Overall, the findings highlight donors’ policy priorities may diverge from those of the public even more than policy positions do.","['CANES-WRONE, BRANDICE', 'KASTELLEC, JONATHAN P.', 'STUDEN, NICOLAS']",American Political Science Review,120,1,381-388,,Cambridge University Press (CUP),Mass Versus Donor Attitudes on the Importance of Supreme Court Nominations,"Canes-Wrone, B., Kastellec, J. P., & Studen, N. (2025). Mass Versus Donor Attitudes on the Importance of Supreme Court Nominations. American Political Science Review, 120 (1), 381-388.[ https://doi.org/10.1017/s0003055425000139]( https://doi.org/10.1017/s0003055425000139)"
90,"Black Troops, White Rage, and Political Violence in the Postbellum American South",10.1017/s0003055424001187,"[2025, 3, 14]",100,"[{'ORCID': 'https://orcid.org/0000-0002-5792-9369', 'authenticated-orcid': False, 'given': 'JOSHUA', 'family': 'BYUN', 'sequence': 'first', 'affiliation': [{'name': 'Boston College'}]}, {'ORCID': 'https://orcid.org/0000-0002-4360-650X', 'authenticated-orcid': False, 'given': 'HYUNKU', 'family': 'KWON', 'sequence': 'additional', 'affiliation': [{'name': 'University of Chicago'}]}]","How can governments in racially divided societies protect vulnerable populations from political violence after large-scale internal conflict? When the dominant majority is bent on perpetuating its power and privileges in the racial hierarchy, benevolence by government interveners is unlikely to curb oppressive violence against subordinate groups. There is thus no alternative to using military coercion to crush insurgents and their civilian supporters. However, failing to maintain this coercive apparatus can exacerbate violence over the long term by triggering racialized revenge dynamics, particularly in communities that were occupied by troops of the subordinate minority. To substantiate these claims, we show that different parts of the postbellum American South experienced uneven spikes in white supremacist violence following the end of federal military occupation in the 1870s: counties that had previously been occupied by Black troops witnessed higher incidences of anti-Black violence than other areas. This effect persisted for many decades, contributing to the dismal climate of violence that prevailed during the nadir of American race relations.","['BYUN, JOSHUA', 'KWON, HYUNKU']",American Political Science Review,120,1,1-20,,Cambridge University Press (CUP),"Black Troops, White Rage, and Political Violence in the Postbellum American South","Byun, J., & Kwon, H. (2025). Black Troops, White Rage, and Political Violence in the Postbellum American South. American Political Science Review, 120 (1), 1-20.[ https://doi.org/10.1017/s0003055424001187]( https://doi.org/10.1017/s0003055424001187)"
91,Voting in Authoritarian Elections,10.1017/s0003055425000085,"[2025, 3, 14]",91,"[{'ORCID': 'https://orcid.org/0009-0004-7564-1483', 'authenticated-orcid': False, 'given': 'TURKULER', 'family': 'ISIKSEL', 'sequence': 'first', 'affiliation': [{'name': 'Columbia University'}]}, {'ORCID': 'https://orcid.org/0000-0002-4000-217X', 'authenticated-orcid': False, 'given': 'THOMAS B.', 'family': 'PEPINSKY', 'sequence': 'additional', 'affiliation': [{'name': 'Cornell University'}]}]","Democratic theorists hold that voting contributes to some political good: individual and collective autonomy, equality, justice, pluralism, stability, better policies, and many others. But elections are common under authoritarianism, and empirical research finds that holding elections can stabilize authoritarian regimes. This creates what we term the democrat’s dilemma, where citizens who vote in authoritarian elections may bolster the regimes they wish to unseat, even when they cast a vote for the opposition. We identify three major ways of thinking about the democratic value of electoral participation—justice-based, epistemic, and proceduralist approaches—and use them to examine the complex moral considerations that confront voters in authoritarian regimes. We contend that authoritarian elections’ residual democratic value can justify voting, even when doing so could further entrench the autocrat. Our argument also implies that the democratic principles that justify voting in authoritarian elections oblige citizens to choose the most democratic alternative.","['ISIKSEL, TURKULER', 'PEPINSKY, THOMAS B.']",American Political Science Review,120,1,21-36,,Cambridge University Press (CUP),Voting in Authoritarian Elections,"Isiksel, T., & Pepinsky, T. B. (2025). Voting in Authoritarian Elections. American Political Science Review, 120 (1), 21-36.[ https://doi.org/10.1017/s0003055425000085]( https://doi.org/10.1017/s0003055425000085)"
92,How Does Community Policing Affect Police Attitudes? An Experimental Test and a Theory of Bureaucrat-Citizen Contact,10.1017/s000305542400145x,"[2025, 3, 12]",88,"[{'ORCID': 'https://orcid.org/0000-0003-4132-7766', 'authenticated-orcid': False, 'given': 'DOTAN', 'family': 'HAIM', 'sequence': 'first', 'affiliation': [{'name': 'Florida State University'}]}, {'ORCID': 'https://orcid.org/0000-0002-7006-5040', 'authenticated-orcid': False, 'given': 'MATTHEW', 'family': 'NANES', 'sequence': 'additional', 'affiliation': [{'name': 'Saint Louis University'}]}, {'ORCID': 'https://orcid.org/0000-0001-5353-4231', 'authenticated-orcid': False, 'given': 'NICO', 'family': 'RAVANILLA', 'sequence': 'additional', 'affiliation': [{'name': 'University of California, San Diego'}]}]","In contrast to the expansive work on how community policing affects
                    citizens’
                    attitudes toward police, existing research says little about how community policing affects
                    officers’
                    attitudes toward citizens. We examine officer-facing outcomes using an experiment in the Philippines, in which a random subset of a province’s 705 officers were assigned to intensive community policing activities for seven months. Treatment officers saw improved understanding of citizen concerns, but did not develop greater empathy or trust toward civilians, nor an increased sense of accountability for citizen-facing misconduct. We build from the experiment to develop an inductive theory of bureaucrat-citizen contact, relying on qualitative observations and exploratory analyses of heterogeneous effects. We propose that contact with citizens is only likely to improve attitudes among frontline bureaucrats who are not ex-ante embedded in their communities. Moreover, contact may have negative effects when it reveals threats to bureaucrats’ personal safety.","['HAIM, DOTAN', 'NANES, MATTHEW', 'RAVANILLA, NICO']",American Political Science Review,119,4,1983-2001,,Cambridge University Press (CUP),How Does Community Policing Affect Police Attitudes? An Experimental Test and a Theory of Bureaucrat-Citizen Contact,"Haim, D., Nanes, M., & Ravanilla, N. (2025). How Does Community Policing Affect Police Attitudes? An Experimental Test and a Theory of Bureaucrat-Citizen Contact. American Political Science Review, 119 (4), 1983-2001.[ https://doi.org/10.1017/s000305542400145x]( https://doi.org/10.1017/s000305542400145x)"
93,Without Roots: The Political Consequences of Collective Economic Shocks,10.1017/s0003055425000073,"[2025, 3, 7]",126,"[{'ORCID': 'https://orcid.org/0000-0001-9032-855X', 'authenticated-orcid': False, 'given': 'SIMONE', 'family': 'CREMASCHI', 'sequence': 'first', 'affiliation': [{'name': 'Bocconi University'}]}, {'ORCID': 'https://orcid.org/0009-0002-5107-7553', 'authenticated-orcid': False, 'given': 'NICOLA', 'family': 'BARILETTO', 'sequence': 'additional', 'affiliation': [{'name': 'University of Texas at Austin'}]}, {'ORCID': 'https://orcid.org/0000-0002-3824-4284', 'authenticated-orcid': False, 'given': 'CATHERINE E.', 'family': 'DE VRIES', 'sequence': 'additional', 'affiliation': [{'name': 'Bocconi University'}]}]","While an abundance of scholarly work investigates how economic shocks influence the political behavior of affected individuals, we know much less about their
                    collective
                    effects. Exploiting the sudden onset of a plant disease epidemic in Puglia, Italy—where the plant pathogen
                    Xylella fastidiosa
                    devastated centuries-old olive groves—we explore the collective effects of economic shocks. By combining quantitative difference-in-differences analysis of municipal data with a novel case selection strategy for qualitative fieldwork, we document the hardship caused by the outbreak, and estimate a 2.2-percentage-point increase in far-right vote share. We show that preexisting public service deprivation moderates the shock’s political consequences through a community narrative of state neglect. These findings highlight that preexisting community conditions shape the political consequences of economic shocks, and that plant disease epidemics—which are becoming more prevalent due to climate change—have important political effects.","['CREMASCHI, SIMONE', 'BARILETTO, NICOLA', 'DE VRIES, CATHERINE E.']",American Political Science Review,119,4,1963-1982,,Cambridge University Press (CUP),Without Roots: The Political Consequences of Collective Economic Shocks,"Cremaschi, S., Bariletto, N., & De Vries, C. E. (2025). Without Roots: The Political Consequences of Collective Economic Shocks. American Political Science Review, 119 (4), 1963-1982.[ https://doi.org/10.1017/s0003055425000073]( https://doi.org/10.1017/s0003055425000073)"
94,"Allies of the Weak:
                    <i>La Résistance</i>
                    and Jews in the Holocaust",10.1017/s0003055424001345,"[2025, 3, 6]",108,"[{'ORCID': 'https://orcid.org/0000-0003-1689-5454', 'authenticated-orcid': False, 'given': 'KASIA', 'family': 'NALEWAJKO', 'sequence': 'first', 'affiliation': [{'name': 'Collegio Carlo Alberto'}]}]","Do insurgents help or hinder survival of the targets of genocide? A common view in political science holds that insurgents’ presence attracts state violence against civilians. In contrast to this, I use multiple archival collections on WWI and WWII military personnel, Holocaust victims’ records, and testimonies of survivors and rescuers to show that insurgent presence in fact
                    decreased
                    local numbers of Holocaust victims. To ensure that the relationship is causal, I use an instrumental variable exploiting the exogenous number of WWI military deaths, which increased insurgent enlistment in WWII. Case studies of mechanisms reveal that individual insurgents helped the Jews mainly out of “moral” motivations, by using tactics they had developed to fight the incumbent. By zooming out of times of increased counterinsurgency and studying the specific needs of genocide targets, this article nuances existing literature and points to an overlooked source of variation in genocide survival.","['NALEWAJKO, KASIA']",American Political Science Review,119,4,1942-1962,,Cambridge University Press (CUP),"Allies of the Weak:
                    <i>La Résistance</i>
                    and Jews in the Holocaust","Nalewajko, K. (2025). Allies of the Weak:
                    <i>La Résistance</i>
                    and Jews in the Holocaust. American Political Science Review, 119 (4), 1942-1962.[ https://doi.org/10.1017/s0003055424001345]( https://doi.org/10.1017/s0003055424001345)"
95,Political Emancipation and Modern Jewish National Identity,10.1017/s0003055424001412,"[2025, 3, 5]",81,"[{'ORCID': 'https://orcid.org/0000-0002-2154-2701', 'authenticated-orcid': False, 'given': 'CARLES', 'family': 'BOIX', 'sequence': 'first', 'affiliation': [{'name': 'Princeton University'}]}]","Following the rise of liberalism and nationalism during the nineteenth century, Jewish national identity varied across countries. While Western European and American Jews mainly came to think of themselves as nationals of their country of citizenship, a growing number of Eastern European Jews claimed to be a separate nation with a legitimate claim to self-government. Comparing the evolution of Jewish identities across North America and Europe and leveraging a regression discontinuity design based on the differential treatment of Polish and Russian Jews under Tsarism, I find that their divergent national identities responded to the extent to which Jews were politically emancipated in the country where they lived over the long century that followed the Atlantic Revolutions. Social and economic modernization played a weaker role, suggesting the need to think about national identity formation as endogenous to political and constitutional transformations marking the birth of the contemporary era.","['BOIX, CARLES']",American Political Science Review,119,4,1921-1941,,Cambridge University Press (CUP),Political Emancipation and Modern Jewish National Identity,"Boix, C. (2025). Political Emancipation and Modern Jewish National Identity. American Political Science Review, 119 (4), 1921-1941.[ https://doi.org/10.1017/s0003055424001412]( https://doi.org/10.1017/s0003055424001412)"
96,White Democrats’ Growing Support for Black Politicians in the Era of the “Great Awokening”,10.1017/s0003055425000097,"[2025, 2, 28]",77,"[{'ORCID': 'https://orcid.org/0000-0001-6253-7055', 'authenticated-orcid': False, 'given': 'ANNA CAROLINE', 'family': 'MIKKELBORG', 'sequence': 'first', 'affiliation': [{'name': 'Colorado State University'}]}]","Equitable representation of minority groups is a challenge for democratic government. One way to resolve this dilemma is for majority-group voters to support minority-group candidates, but this support is often elusive. To understand how such inter-group coalitions become possible, this paper investigates the case of white Democratic Americans’ growing support for Black political candidates. I show that as white Democrats’ racial attitudes have liberalized, an increasing number of majority-white districts have elected Black congressional representatives. White Democratic survey respondents have also come to prefer Black candidate profiles, as demonstrated in a meta-analysis of 42 experiments. White Democratic respondents in a series of original conjoint experiments were most likely to prefer Black profiles when they expressed awareness of racial discrimination, low racial resentment, and dislike towards Trump. Additional tests underscore the association between majority-group voters’ concern about racial injustice and their support for minority-group candidates.","['MIKKELBORG, ANNA CAROLINE']",American Political Science Review,119,4,1902-1920,,Cambridge University Press (CUP),White Democrats’ Growing Support for Black Politicians in the Era of the “Great Awokening”,"Mikkelborg, A. C. (2025). White Democrats’ Growing Support for Black Politicians in the Era of the “Great Awokening”. American Political Science Review, 119 (4), 1902-1920.[ https://doi.org/10.1017/s0003055425000097]( https://doi.org/10.1017/s0003055425000097)"
97,Why Was the American Revolution a War? A Rationalist Interpretation,10.1017/s0003055425000024,"[2025, 2, 24]",69,"[{'ORCID': 'https://orcid.org/0000-0001-7811-5885', 'authenticated-orcid': False, 'given': 'DAVID A.', 'family': 'LAKE', 'sequence': 'first', 'affiliation': [{'name': 'University of California'}]}]","This paper poses a rationalist account of the American Revolution that locates the turn to war in problems of credible commitment on both sides of the Atlantic. On the one hand, Britain could not commit credibly to restrain its authority, especially once the political equipoise that had prevailed before the Seven Years War was broken. To render a new colonial bargain credible required tying the hands of Parliament, but any form of colonial representation would have severely disrupted politics in Britain in a period of political change and conflict. On the other hand, Americans could not credibly commit to follow rules set in London, especially those restricting trade and Westward expansion. Neither settlers nor elites had an incentive to comply with imperial edicts and, more importantly, the colonies lacked any means to enforce any potential agreement.","['LAKE, DAVID A.']",American Political Science Review,119,4,1888-1901,,Cambridge University Press (CUP),Why Was the American Revolution a War? A Rationalist Interpretation,"Lake, D. A. (2025). Why Was the American Revolution a War? A Rationalist Interpretation. American Political Science Review, 119 (4), 1888-1901.[ https://doi.org/10.1017/s0003055425000024]( https://doi.org/10.1017/s0003055425000024)"
